Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1000939,Nichols Station,AMARILLO,TX,79108,7201 N LAKESIDE DRIVE,35.2825,-101.7458,"570,357.44","569,778.20",264.25,314.99,"1,100.00","569,257.44"
1004322,Nicor Gas Ancona,STREATOR,IL,61364,28512 N. 100 East Rd.,41.03791,-88.910977,"25,551.10","25,524.80",12.00,14.30,"25,551.10",
1000541,Niland Gas Turbine Plant,NILAND,CA,92257,402 EAST BEAL ROAD,33.2432,-115.498,"16,357.59","16,340.60",7.75,9.24,,"16,357.59"
1000850,Niles,NILES,OH,44446,1047 BELMONT AVE,41.1667,-80.75,"453,825.87","450,036.50","1,386.00","2,403.37",222.35,"453,603.52"
1001606,Ninemile Point,WESTWEGO,LA,70094,1617 RIVER ROAD,29.9472,-90.1458,"2,823,241.34","2,820,375.30","1,307.50","1,558.54",,"2,823,241.34"
1004339,"Nippon Shokubai America Industries, Inc.",CHATTANOOGA,TN,37406,2651 RIVERPORT ROAD,35.07592,-85.277367,"39,836.29","39,793.70",18.75,23.84,"39,836.29",
1001270,Nissequogue Cogen,STONY BROOK,NY,11794,GYMNASIUM ROAD,40.9168,-73.1292,"188,606.25","188,415.00",87.25,104.00,,"188,606.25"
1000415,"Noble Americas South Bend Ethanol, LLC.",SOUTH BEND,IN,46613,3201 W CALVERT ST,41.6552,-86.2962,"261,555.89","259,355.00",806.25,"1,394.64","261,555.89",
1001542,Noblesville,NOBLESVILLE,IN,46060,21225 RIVERWOOD AVE,40.0969,-85.9714,"102,500.92","102,396.50",47.50,56.92,233.55,"102,267.37"
1001141,Nodaway Power Plant,CONCEPTION JUNCTION,MO,64434,31491 300TH ST,40.2877,-94.7913,"3,982.38","3,978.00",2.00,2.38,,"3,982.38"
1005534,Noranda Aluminum,New Madrid,MO,63869,391 St. Jude Industrial Park,36.51363,-89.57552,"661,650.84","474,064.30",26.25,31.29,"56,112.84",
1005070,Norco Fractionation Plant,Norco,LA,70079,15608 Highway 61,30.01418,-90.40521,"101,014.72","100,910.30",47.50,56.92,"101,014.72",
1005911,Norco Manufacturing Complex,Norco,LA,70079,15536 River Road,30.000723,-90.403768,"3,872,626.14","3,799,747.20","47,771.25","25,107.69","2,416,168.68",
1004562,Norris Farms Landfill,Baltimore,MD,21222,101 Norris Lane,39.28084,-76.49181,"8,305.00",,"8,305.00",,,
1000108,North 1st,BROOKLYN,NY,11211,NORTH 1ST & 47-79 RIVER ST,40.7168,-73.9665,"28,934.24","28,905.20",13.25,15.79,94.50,"28,839.74"
1002977,North American Stainless,Ghent,KY,41045,6870 Highway 42 East,38.727778,-85.072222,"268,024.04","267,787.60",108.00,128.44,"224,306.44",
1004690,North Britt,Wheeler,TX,79096,,35.55046944,-100.1071917,"27,570.00","27,541.80",13.00,15.20,"27,570.00",
1002975,North Chicago Facility,NORTH CHICAGO,IL,60064,1401 SHERIDAN RD,42.33397,-87.83855,"83,773.13","83,686.00",39.75,47.38,"83,773.13",
1004534,North DeSoto Central Facility,Frierson,LA,71207,1679 Gravel Point Rd.,32.240769,-93.654867,"32,879.98","32,846.60",15.50,17.88,"32,879.98",
1002447,North Hobbs Reinjection Compression Facility (RCF) and West Injection Battery (WIB),Hobbs,NM,88240,1017 West Stanolind Road,32.68204,-103.14912,"21,224.02","21,202.10",10.00,11.92,"21,224.02",
1000549,North Island,CORONADO,CA,92118,BUILDING 353,32.705,-117.189,"169,220.77","169,046.30",80.00,94.47,"169,220.77",
1001208,"North Jersey Energy Associates, A LP",SAYREVILLE,NJ,08872,601 JERNEE MILL ROAD,40.439,-74.3444,"449,000.04","448,544.10",208.00,247.94,,"449,000.04"
1002053,North Lost Hills,North Lost Hills,CA,93249,13800 Holloway Road,35.6355,-119.904659,"40,875.90","40,851.00",10.00,14.90,"40,875.90",
1002293,North Midway Sunset,Fellows,CA,39224,25449 Highway 33,35.228985,-119.57704,"169,386.82","169,267.80",47.50,71.52,"169,386.82",
1006069,North Omaha Station,OMAHA,NE,68112,7475 PERSHING DRIVE,41.3297,-95.9458,"3,707,375.14","3,687,994.20",970.50,"18,410.44",,"3,707,375.14"
1004966,"North Shore Midstream, LLC",ROCK SPRINGS,WY,82901,,41.38719,-108.74324,"48,581.82","48,532.00",23.00,26.82,"48,581.82",
1005071,North Terrebonne Gas Plant,Gibson,LA,70358,449 Shell E&P Court,29.62879,-90.91768,"335,593.48","335,246.60",158.25,188.63,"335,593.48",
1005625,North Texas,WEATHERFORD,TX,76087,602 WEST LAKE DRIVE,32.7783,-97.6956,0.00,0.00,,,,0.00
1001197,North Valmy,VALMY,NV,89438,23755 Treaty Hill Road,40.8831,-117.1542,"2,774,069.20","2,752,316.80","7,955.00","13,797.40",0.00,"2,774,069.20"
1003929,North Yellowstone CPF-1,Higden,AR,72067,1006 Macon Road,35.521957,-92.299401,"32,100.58","32,067.70",15.00,17.88,"32,100.58",
1003931,North Yellowstone CPF-2,Bee Branch,AR,72013,579 Old Dug Road,35.496872,-92.362804,"27,759.70","27,731.20",13.00,15.50,"27,759.70",
1006645,Northampton Generating Plant,NORTHAMPTON,PA,18067,1 HORWITH DRIVE,40.6917,-75.4792,"871,473.83","862,371.20","3,422.75","5,679.88","871,473.83",
1007809,Northeast Missouri Grain LLC dba Poet Biorefining-Macon,Macon,MO,63552,30211 major ave,39.7481,-92.3851,"83,630.38","83,543.80",39.50,47.08,"83,630.38",
1000862,Northeastern,Oologah,OK,74053,7300 E. Hwy 88,36.4317,-95.7008,"7,691,152.46","7,643,303.90","17,669.50","30,179.06","4,071.63","7,687,080.83"
