Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1004042,SENECA MEADOWS SWMF,WATERLOO,NY,13165,1786 SALCMAN ROAD,42.92,-76.85,239997.2,26.9,239970.3,,26.9,
1004262,SENSIENT NATURAL INGREDIENTS LLC,LIVINGSTON,CA,95334,9984 WEST WALNUT AVENUE,37.39,-120.67,42731.5,42687.7,20.0,23.8,42731.5,
1002493,SETTLERS HILL RDF/MIDWAY LANDFILL,BATAVIA,IL,60510,1031 EAST FABYAN PARKWAY,41.87,-88.29,14391.0,,14271.5,119.5,170.5,
1006964,SEVEN MILE CREEK LANDFILL LLC,EAU CLAIRE,WI,54703,8001 OLSON DR,44.84,-91.37,23121.4,32.6,23088.8,,32.6,
1007050,SEWERAGE & WATER BOARD OF NEW ORLEANS,NEW ORLEANS,LA,70118,8801 SPRUCE ST,29.96,-90.13,96264.5,96164.5,45.5,54.5,96264.5,
1011679,SGL Automotive Carbon Fibers LLC,Moses Lake,WA,98837,8781 Randolph Road NE,47.21,-119.28,9515.3,9505.4,4.5,5.4,9515.3,
1007686,SHADE LDFL,CAIRNBROOK,PA,15924,1176 NO. 1 ROAD,40.12,-78.80,13859.8,694.5,13165.3,,694.5,
1005580,SHAW INDUSTRIES GROUP INC PLANT 4,DALTON,GA,30720,2225 SOUTH HAMILTON STREET EXTENSION,34.72,-84.97,37144.1,37105.7,17.5,20.9,37144.1,
1007876,SHAW INDUSTRIES GROUP INC. P LANT 8S,COLUMBIA,SC,29210,4401 SAINT ANDREWS ROAD,34.05,-81.15,56209.8,56151.7,26.5,31.6,56209.8,
1007082,SHELBY COUNTY HIGHWAY 70 LANDFILL,COLUMBIANA,AL,35051,401 Landfill Road,33.17,-86.69,122984.8,,122984.8,,,
1001936,SHELL CHEMICAL CO - GEISMAR PLANT,GEISMAR,LA,70734,7594 HIGHWAY 75,30.18,-90.99,980822.7,979741.1,438.3,643.4,796154.9,
1006453,SHINTECH INCORPORATED,FREEPORT,TX,77541,5618 HIGHWAY 332 EAST,28.99,-95.36,125908.5,125778.6,59.3,70.6,125908.5,
1004767,SHINTECH LOUISIANA LLC - ADDIS PLANT A,ADDIS,LA,70710,9750 LA Highway 1 South,30.33,-91.26,62243.0,62178.9,29.3,34.9,62243.0,
1004867,SHINTECH PLAQUEMINE PLANT,PLAQUEMINE,LA,70764,"26270 HIGHWAY 405, RIVER ROAD SOUTH",30.26,-91.17,587072.3,586546.2,240.0,286.1,509693.7,
1007088,SHOOSMITH SANITARY LANDFILL,CHESTER,VA,23831,11800 LEWIS ROAD,37.35,-77.50,96666.0,,96666.0,,,
1003104,SHORT CREEK LANDFILL,Wheeling,WV,26058,258 NORTH FORK ROAD,40.16,-80.64,26032.7,91.9,25940.5,0.3,92.2,
1007001,SHORT MOUNTAIN LANDFILL,EUGENE,OR,97405,84777 DILLARD ACCESS RD.,43.96,-123.00,150052.3,,150052.3,,,
1002124,SHOW ME ETHANOL,CARROLLTON,MO,64633,26530 E HWY 24,39.36,-93.45,89721.1,89628.5,42.3,50.4,89721.1,
1004263,SHPP US LLC,SELKIRK,NY,12158,1 NORYL AVENUE,42.58,-73.85,33973.8,33938.7,16.0,19.1,33973.8,
1003966,SI GROUP INC /ROTT JCT FAC,ROTTERDAM JUNCTION,NY,12150,1000 MAIN STREET,42.86,-74.03,3683.9,3678.9,2.0,3.0,3683.9,
