Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006979,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,38.56,-90.53,4912.3,,4912.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,42.14,-89.09,132971.0,503.6,132443.3,24.1,537.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,39.82,-89.04,38047.4,692.4,37354.8,0.3,692.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000627,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,37.34,-77.28,60013.6,59948.8,29.0,35.8,60013.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000630,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,37.18,-77.16,1163957.7,1163400.4,254.3,303.1,540243.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005310,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,00785,"KM 142, RTE. #3 BO. JOBOS",17.95,-66.15,3474944.4,3451922.8,8419.0,14602.6,3474944.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001444,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,33.77,-118.10,1762449.4,1760660.2,816.3,973.0,4502.7,1757946.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005972,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,21.30,-158.11,642018.8,636257.4,2105.3,3656.2,642018.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001447,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,33.64,-117.98,1542174.2,1540608.0,714.5,851.7,5079.7,1537094.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001450,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,33.85,-118.40,197812.0,197610.9,91.8,109.4,,197812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001223,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,39.59,-78.75,1406084.8,1394818.1,4121.3,7145.4,225.7,1405859.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003853,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,38.60,-90.17,51466.3,51413.1,24.3,28.9,51466.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007551,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,44.73,-75.44,6188.5,6181.9,3.0,3.6,6188.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002069,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,43.10,-94.65,24229.6,24204.4,11.5,13.7,24229.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006054,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,42.67,-93.90,71687.3,71613.3,33.8,40.2,71687.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002408,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,43.18,-95.86,27479.6,27451.1,13.0,15.5,27479.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002291,AG PROCESSING INCORPORATED A COOPERATIVE,DAWSON,MN,56232,800 DIAGONAL STREET,44.93,-96.06,39250.7,39210.1,18.5,22.1,39250.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007333,AGC FLAT GLASS N AMERICA INC,RICHMOND,KY,40475,201 DUNCANNON LANE,37.70,-84.27,97673.0,97605.0,31.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002067,AGP SOY/CORN PROCESSING,HASTINGS,NE,68901,2801 E 7TH ST,40.59,-98.34,190387.1,189003.5,507.5,876.1,190387.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005284,AGRI ENERGY LLC,LUVERNE,MN,56156,502 SOUTH WALNUT AVENUE,43.65,-96.22,2275.0,2262.8,11.0,1.2,2265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,BORGER,TX,79007,9201 FM 1551,35.64,-101.42,1026667.3,1026151.6,235.3,280.4,499861.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004236,AGRIUM US INC - KFO,KENNEWICK,WA,99337,227515 E BOWLES ROAD,46.17,-119.02,142910.9,9554.8,0.5,133355.6,1270.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001919,AHN Heartland Ingredients,EDDYVILLE,IA,52553,1116 Highway 137,41.14,-92.65,116859.7,116739.1,55.0,65.6,116859.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006430,"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,33.91,-118.40,620672.4,620672.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003724,AIR LIQUIDE - CORPUS CHRISTI SMR,CORPUS CHRISTI,TX,78407,5880 UP RIVER ROAD,27.81,-97.47,317571.4,317571.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003730,AIR LIQUIDE - FREEPORT HYCO PLANT,FREEPORT,TX,77541,2398 VICTORIA ROAD,28.98,-95.38,197147.0,197147.0,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003780,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,PORT NECHES,TX,77651,2121 PARK STREET,29.98,-93.95,3054.9,3051.6,1.5,1.8,3054.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003910,AIR LIQUIDE AMERICA CORP,LONGVIEW,TX,75602,2292 Callahan Rd,32.45,-94.69,484975.4,484975.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006115,AIR LIQUIDE AMERICA CORP.,GEISMAR,LA,70734,36597 HWY 30,30.21,-90.99,446311.8,445851.5,210.0,250.3,446311.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003591,AIR LIQUIDE GEISMAR UTILITY SERVICES,GEISMAR,LA,70734,36183 HWY 30,30.22,-91.00,150611.2,150378.3,94.0,138.9,150611.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003748,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,RODEO,CA,94572,1391 SAN PABLO AVE,38.05,-122.26,914744.1,914744.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003013,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,WESTLAKE,LA,70669,102 TROUSDALE RD,30.24,-93.28,792651.0,792651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002698,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,GEISMAR,LA,70734,8013 HWY 3251,30.18,-90.99,47332.0,47332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003009,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,NEW ORLEANS,LA,70129,14700 INTRACOASTAL DRIVE,30.02,-89.90,192112.9,192112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002121,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,MARTINEZ,CA,94553,110 WATERFRONT RD,38.03,-122.08,772660.0,772660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002122,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",MARTINEZ,CA,94553,,38.03,-122.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005809,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,CATLETTSBURG,KY,41129,11631 US Route 23,38.38,-82.61,149439.1,149439.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002727,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,GARYVILLE,LA,70051,4663 W AIRLINE HWY,30.10,-90.65,910959.8,910959.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002123,AIR PRODUCTS AND CHEMICALS INCORPORATED,SACRAMENTO,CA,95826,5025 83RD STREET,38.53,-121.40,45453.9,45453.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002430,AIR PRODUCTS BAYTOWN PLANT,BAYTOWN,TX,77520,5503 WEST BAKER ROAD,29.76,-95.02,59959.8,59897.9,28.3,33.7,59959.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002257,AIR PRODUCTS CARSON HYDROGEN PLANT,CARSON,CA,90810,23300 SOUTH ALAMEDA STREET,33.81,-118.23,711871.5,711871.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002435,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,WILMINGTON,CA,90744,700 HENRY FORD AVENUE,33.78,-118.24,769824.6,769236.9,173.5,414.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006088,AKRON REGIONAL LANDFILL *,AKRON,OH,44313,1585 HARDY ROAD,41.15,-81.56,1669.3,,1669.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005149,AL CORN CLEAN FUEL,CLAREMONT,MN,55924,797 5th Street,44.05,-93.02,203160.1,202950.8,95.5,113.8,203160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000129,AL Sandersville,WARTHEN,GA,31094,1600 MILLS LINDSEY SCHOOL ROAD,33.12,-82.86,104385.1,104278.2,48.8,58.1,,104385.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007917,"ALABAMA RIVER CELLULOSE, LLC",PERDUE HILL,AL,36470,2373 LENA LANDEGGER HWY,31.58,-87.49,362369.0,247123.5,109013.8,6231.8,98764.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007272,ALADDIN MILLS - ANTIOCH RD PLA NT,DALTON,GA,30720,2001 ANTIOCH ROAD,34.73,-84.95,35587.2,35549.9,17.0,20.3,35587.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
